Church_Name,Address,Phone_Number,Website,No_of_Member,Ponster_Name
"
        ,
			,
			(,) 
			
        ","
			,
			733 N 27th St,
Camden NJ  08105-3921,
USA
        ","
		,Marco A Estrada ",http://camdenspanishnj.adventistchurch.org,"
    	,
			PO Box 157,
Pennsauken NJ  08110-0157,
USA
		","
		,141"
"
        ,Company (CCO)
        ","
			,
			121 Agee Ave NW,
Camden AR  71701-3301,
USA
        ","
		,Kenneth Edwards ",http://camdenar.adventistchurch.org,"
    	,
			PO Box 772,
Camden AR  71711-0772,
USA
		","
		,26"
"
        ,
			,
			(,) 
			
        ","
			,
			214 Natchez Trace Rd,
Camden TN  38320-1612,
USA
        ","
		,Daniel Spencer ",http://www.camdensdachurch.com,"
    	,
			PO Box 862,
Camden TN  38320-0862,
USA
		","
		,43"
"
        ,
			,
			(,) 
			
        ","
			,
			891 May Creek Dr,
Kingsland GA  31548-5564,
USA
        ","
        ,912-729-1961
        ",http://camden24.adventistchurchconnect.org,"
		,87","
		,Arnold Schnell "
"
        ,
			,
			(,) 
			
        ","
			,
			612 Boykin Rd,
Camden SC  29020-1806,
USA
        ","
		,Steve McKoy ",http://camdensda.net,"
    	,
			612 Boykin Rd,
Camden SC  29020-1806,
USA
		","
		,108"
"
        ,Church (CCH)
        ","
			,
			132 Camden St,
Rockport ME  04856-5953,
USA
        ","
        ,207-236-4322
        ",http://camdenme.adventistchurch.org,"
    	,
			PO Box 797,
Camden ME  04843-0797,
USA
		","
		,72"
"
        ,Church (CCH)
        ","
			,
			Movie Gallery Building,
11 Main St,
Camden NY  13316-1301,
USA
        ","
		,Russell Huggins ",http://camden28.adventistchurchconnect.org,"
    	,
			8070 State Route 13,
Blossvale NY  13308-3344,
USA
		","
		,35"
"
        ,Monday, August 27, 2018
        ","
			,
			210 10th Ave SW,
Cambridge MN  55008-2103,
USA
        ","
        ,763-689-1633
        ",http://www.cambridgemnsda.org,"
		,70","
		,Abner E. Aguilar "
"
        ,Church (CCH)
        ","
			,
			3105 Mallard Ct,
Cambridge MD  21613-3498,
USA
        ","
        ,301-254-9035
        ",http://cambridge24.adventistchurchconnect.org,"
		,52","
		,Cesar Gonzalez "
"
        ,
			,
			(,) 
			
        ","
			,
			Highway 95 South,
Cambridge ID  83610,
USA
        ","
		,Angel Acevedo ",http://cambridgeid.adventistchurch.org,"
    	,
			PO Box 70,
Cambridge ID  83610-0070,
USA
		","
		,55"
